Date,Month,MeanTemp,MaxTemp,MinTemp
20130101,1,-6,0,-11
20130102,1,-11,-6,-16
20130103,1,-14,-10,-19
20130104,1,-14,-8,-19
20130105,1,-10,-2,-17
20130106,1,-10,-4,-16
20130107,1,-8,-2,-14
20130108,1,-7,-2,-12
20130109,1,-12,-8,-15
20130110,1,-11,-5,-17
20130111,1,-6,1,-12
20130112,1,-1,3,-7
20130113,1,-4,0,-8
20130114,1,-3,2,-8
20130115,1,-4,2,-9
20130116,1,-3,0,-6
20130117,1,-7,-4,-10
20130118,1,-6,0,-13
20130119,1,-1,4,-6
20130120,1,0,4,-5
20130121,1,2,4,1
20130122,1,3,5,1
20130123,1,2,3,1
20130124,1,-1,3,-5
20130125,1,-8,-6,-10
20130126,1,-9,-6,-12
20130127,1,-8,-4,-13
20130128,1,-6,0,-12
20130129,1,2,5,0
20130130,1,6,9,2
20130131,1,6,11,0
20130201,2,6,9,3
20130202,2,-1,2,-4
20130203,2,-4,-1,-6
20130204,2,-2,1,-8
20130205,2,-4,2,-10
20130206,2,-1,1,-3
20130207,2,-8,-2,-14
20130208,2,-12,-9,-16
20130209,2,-9,-2,-16
20130210,2,-5,-2,-9
20130211,2,-8,-3,-13
20130212,2,-4,-2,-7
20130213,2,-5,2,-12
20130214,2,0,5,-5
20130215,2,-3,0,-7
20130216,2,-4,1,-10
20130217,2,1,6,-4
20130218,2,0,2,-2
20130219,2,-2,0,-6
20130220,2,-5,-1,-9
20130221,2,-2,2,-7
20130222,2,0,4,-4
20130223,2,-2,2,-5
20130224,2,0,5,-5
20130225,2,2,7,-3
20130226,2,4,8,-1
20130227,2,3,7,-1
20130228,2,6,13,-1
20130301,3,2,7,-2
20130302,3,-1,2,-4
20130303,3,0,4,-4
20130304,3,2,8,-3
20130305,3,2,8,-4
20130306,3,6,14,-1
20130307,3,8,11,3
20130308,3,8,13,3
20130309,3,11,21,0
20130310,3,2,7,-2
20130311,3,3,10,-4
20130312,3,4,11,-4
20130313,3,4,8,0
20130314,3,4,8,-1
20130315,3,2,9,-4
20130316,3,5,10,0
20130317,3,7,14,0
20130318,3,8,12,4
20130319,3,6,9,4
20130320,3,2,7,-2
20130321,3,0,6,-6
20130322,3,2,7,-2
20130323,3,4,10,-3
20130324,3,4,9,0
20130325,3,2,7,-3
20130326,3,2,9,-4
20130327,3,6,14,-3
20130328,3,6,11,1
20130329,3,4,10,-2
20130330,3,5,10,0
20130331,3,4,11,-4
20130401,4,6,13,-1
20130402,4,8,9,5
20130403,4,6,14,-1
20130404,4,10,18,3
20130405,4,12,19,6
20130406,4,8,11,3
20130407,4,6,10,2
20130408,4,6,13,0
20130409,4,6,10,3
20130410,4,4,9,-1
20130411,4,7,10,3
20130412,4,6,12,-1
20130413,4,9,18,0
20130414,4,8,11,4
20130415,4,6,12,1
20130416,4,13,19,7
20130417,4,14,20,9
20130418,4,12,16,7
20130419,4,9,14,4
20130420,4,6,9,4
20130421,4,8,15,1
20130422,4,9,16,2
20130423,4,12,15,8
20130424,4,12,17,8
20130425,4,10,13,7
20130426,4,12,16,7
