연번,기관명,이름,시,구,도로명,도로명 번호,건물번호,기타,도로명주소,전화번호,홈페이지,우편번호,LAT,LON,지번주소,지번주소주소데이터 URI,주소데이터 HTML 페이지
1,종로구,종로구 육아종합지원센터 장난감 도서관,서울특별시,종로구,통일로,18길,64,,종로구 통일로 18길 64(무악동79번지),735-0890,http://www.jnccic.or.kr,110-080,37.57605476,126.9603464,서울특별시 종로구 무악동 79 (무악어린이집),http://jusodata.kr/resource/1111018700100790000000htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
2,중구,신당장난감도서관 (키즈토이),서울특별시,중구,다산로,32길,5,,중구 다산로 32길 5(중구육아종합지원센터 1층),2263-2626,http://www.jgkids.or.kr,100-450,37.56123655,127.0148169,서울특별시 중구 신당동 292-60,http://jusodata.kr/resource/1114016200102920060004htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
3,중구,중림장난감도서관(키즈토이),서울특별시,중구,서소문로,6길,16,,중구 서소문로 6길 16(중림종합사회복지관 별관4층),363-2627,http://www.jgkids.or.kr,100-859,37.55941561,126.9661616,서울특별시 중구 중림동 155-1,http://jusodata.kr/resource/1114017100101550001000htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
4,용산구,용산 아이노리 장난감나라,서울특별시,용산구,한강대로,,185,지하185, 삼각지역6호선 역사 지하 1층,용산구 한강대로 지하185 삼각지역6호선 역사 지하1층,790-5047,http://yongsan-toy.or.kr,37.53560569,126.9740676,서울특별시 용산구 한강로1가 228-1 (6호선 삼각지역),http://jusodata.kr/resource/1117012400102280001000htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
5,성동구,무지개장난감세상,서울특별시,성동구,고산자로,,270,성동구청 지하1층,성동구 고산자로 270(행당동, 성동구청) 지하1층,2286-6091,http://sdtoy.linkone.co.kr,37.56336663,127.0370882,서울특별시 성동구 행당동 7 (성동구청),http://jusodata.kr/resource/1120010700100070000018htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
6,광진구,재미씨앗,서울특별시,광진구,동일로,56가길,31,육아종합지원센터,광진구 동일로 56가길 31(군자동, 육아종합지원센터),467-1827~8,http://www.gjcare.go.kr,37.55453522,127.0726837,서울특별시 광진구 동일로56가길 31 (구립군자어린이집),http://jusodata.kr/resource/1121510900101170010027htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
7,동대문구,동대문구 영유아플라자(답십리점),서울특별시,동대문구,황물로,,62,,동대문구 황물로 62 (답십리동),2247-5843~5,http://ddmccic.or.kr,130-806,37.57200699,127.0479198,서울특별시 동대문구 답십리동 542-9,http://jusodata.kr/resource/1123010500105420009021htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
8,동대문구,동대문구 영유아플라자(제기점),서울특별시,동대문구,약령시로,7길,19,,동대문구 약령시로 7길 19 (제기동),923-2272~3,http://ddmccic.or.kr,130-861,37.5836821,127.034641,서울특별시 동대문구 제기동 227-2,http://jusodata.kr/resource/1123010300102270002030htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
9,중랑구,장난감대여센터(중랑점),서울특별시,중랑구,중랑역로,3길 ,28,1층,중랑구 중랑역로 3길 28 1층, 436-3670~1,http://jungnang.webstore.kr,131-879,37.59498045,127.0748766,서울특별시 중랑구 중화동 321-37,http://jusodata.kr/resource/1126010300103210037000htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
10,중랑구,장난감대여센터(면목점),서울특별시,중랑구,동일로,,591,1층,중랑구 동일로 591 1층 ,439-6700,6703,http://jungnang.webstore.kr,37.58316471,127.0794461,서울특별시 중랑구 면목동 172-94,http://jusodata.kr/resource/1126010100101720094000htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
11,성북구,장난감이좋아,서울특별시,성북구,오패산로,10길,19,,성북구 오패산로 10길 19,918-8080, http://ijoa.gongdan.go.kr,136-130,37.60563989,127.0379364,서울특별시 성북구 하월곡동 222-6 (아이조아 어린이집),http://jusodata.kr/resource/1129013600102220006054htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
12,성북구,sb장난감도서관,서울특별시,성북구,보문로,,168,성북구청내 1층,성북구 보문로 168 (성북구청내 1층),920-2343~4,홈페이지 미운영,136-706,37.58941708,127.0168354,서울특별시 성북구 삼선동5가 411 (성북구청),http://jusodata.kr/resource/1129011500104110000000htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
13,강북구,강북구 장난감 도서관,서울특별시,강북구,오현로,,208,번동3단지복지관내,강북구 오현로 208 번동3단지복지관內,984-6777~6,www.bestbun3.or.kr ,142-763,37.62963475,127.0411303,서울특별시 강북구 번동 237 (번동주공상가아파트),http://jusodata.kr/resource/1130510200102370000014htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
14,강북구,장난감나라,서울특별시,강북구,인수봉로,66길,9,,강북구 인수봉로66길 9 (수유동),994-7480,www.gwcic.or.kr ,142-884,37.64047189,127.0124705,서울특별시 강북구 수유동 410-293,http://jusodata.kr/resource/1130510300104100296000htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
15,도봉구,도봉구 육아종합지원센터 ,서울특별시,도봉구,방학로,12길,28,도붕구육아종합지원센터 4F,도봉구 방학로 12길 28 도봉구육아종합지원센터 4F (방학동 306-10),3494-3341~2,http://www.doccic.go.kr/care/,132-830,37.66329472,127.0303854,서울특별시 도봉구 방학동 306-10 (도봉여성센터),http://jusodata.kr/resource/1132010600103060010000htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
16,도봉구,보듬이나눔이 영유아플라자 ,서울특별시,도봉구,우이천로,4길,05월 24일,,도봉구 우이천로 4길 24-5 (창동 502-33번지),994-3341~2,http://www.doccic.go.kr/care/,132-916,37.63351081,127.0411069,서울특별시 도봉구 창동 502-33 (창동 보듬이 나눔이 영유아프라자),http://jusodata.kr/resource/1132010700105050010000htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
17,노원구,노원정보장난감도서관,서울특별시,노원구,노원로,34길 ,43,노원정보도서관내 1층,노원구 노원로 34길 43 노원정보도서관 내 1층,950-0017,http://www.nowonlib.kr,139-825,37.6610607,127.0649938,서울특별시 노원구 상계동 686 (노원정보도서관),http://jusodata.kr/resource/1135010500106860000019htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
18,은평구,은평구육아종합지원센터 내 라온 장난감나라,서울특별시,은평구,서오릉로,25가길,4,,은평구 서오릉로 25가길 4(구산동 304-40),351-3630,www.epmjuccic.co.kr,122-806,37.6174983,37.6174983,서울특별시 은평구 구산동 304-40 (영유아플라자),http://jusodata.kr/resource/1138010500103040040027htt,http://jusodata.kr/main/ir/detail.jsp?uri=http://jhttp://jusodata.kr/main/ir/detail.jsp?uri=htt
