line_no,time,in,out
line_2,506,15916,13122
line_2,607,29785,90820
line_2,708,59817,216887
line_2,809,88993,412832
line_2,910,71391,304197
line_2,1011,73463,157500
line_2,1112,95645,134063
line_2,1213,111468,127664
line_2,1314,145307,153040
line_2,1415,141569,149648
line_2,1516,162306,141022
line_2,1617,174384,151285
line_2,1718,228344,187498
line_2,1819,343805,270297
line_2,1920,265809,240648
line_2,2021,209983,127347
line_2,2122,258682,85620
line_2,2223,284400,73533
line_2,2424,130027,50950
line_2,2401,19676,17279
