State,County,FIPS,Obama vote,Obama,Romney vote,Romney
AK,Alaska,0,91696,41.6,121234,55
AK,Alaska,2000,91696,41.6,121234,55
AL,Alabama,0,793620,38.4,1252453,60.7
AL,Autauga,1001,6354,26.6,17366,72.6
AL,Baldwin,1003,18329,21.6,65772,77.4
AL,Barbour,1005,5873,51.3,5539,48.3
AL,Bibb,1007,2200,26.2,6131,73.1
AL,Blount,1009,2961,12.3,20741,86.5
AL,Bullock,1011,4058,76.3,1250,23.5
AL,Butler,1013,4367,46.1,5081,53.6
AL,Calhoun,1015,15500,33.5,30272,65.5
AL,Chambers,1017,6853,47.1,7596,52.2
AL,Cherokee,1019,2126,21.8,7494,76.8
AL,Chilton,1021,3391,19.5,13910,79.8
AL,Choctaw,1023,3785,47.5,4150,52.1
AL,Clarke,1025,6317,45.7,7463,54
AL,Clay,1027,1770,26.7,4802,72.3
AL,Cleburne,1029,971,15.4,5269,83.6
AL,Coffee,1031,4899,24.8,14638,74.2
AL,Colbert,1033,9160,39.2,13931,59.6
AL,Conecuh,1035,3551,50.6,3434,49
AL,Coosa,1037,2188,41.7,3028,57.8
AL,Covington,1039,3155,20.5,12148,78.8
AL,Crenshaw,1041,2048,31.9,4326,67.5
AL,Cullman,1043,4855,14.6,27930,84.2
AL,Dale,1045,5283,28.5,13105,70.6
AL,Dallas,1047,14599,69.7,6284,30
AL,DeKalb,1049,5235,22,18316,76.8
AL,Elmore,1051,8940,25.2,26223,74
AL,Escambia,1053,5476,36.9,9263,62.5
AL,Etowah,1055,12792,30.1,29102,68.5
AL,Fayette,1057,1803,22.8,6034,76.3
AL,Franklin,1059,3171,29.2,7567,69.7
AL,Geneva,1061,2039,18,9173,81
AL,Greene,1063,4514,84.7,799,15
AL,Hale,1065,5401,62.6,3205,37.1
AL,Henry,1067,3046,35,5605,64.4
AL,Houston,1069,12348,29.5,29214,69.8
AL,Jackson,1071,5817,28.3,14422,70.2
AL,Jefferson,1073,159658,52.6,141413,46.6
AL,Lamar,1075,1643,23,5453,76.2
AL,Lauderdale,1077,12504,33.9,23902,64.8
AL,Lawrence,1079,5055,35.9,8855,62.9
AL,Lee,1081,21274,39.3,32062,59.2
AL,Limestone,1083,9809,27.7,25263,71.4
AL,Lowndes,1085,5747,76.4,1754,23.3
AL,Macon,1087,9045,87.1,1322,12.7
AL,Madison,1089,61802,40,90679,58.6
AL,Marengo,1091,6154,53.5,5321,46.2
AL,Marion,1093,2249,18.6,9696,80.1
AL,Marshall,1095,6271,19.3,25785,79.4
AL,Mobile,1097,78417,45,94566,54.3
AL,Monroe,1099,4897,45.9,5730,53.7
AL,Montgomery,1101,62993,61.9,38283,37.6
AL,Morgan,1103,13401,27.2,35309,71.8
AL,Perry,1105,4536,74.8,1504,24.8
AL,Pickens,1107,4448,46.3,5119,53.3
AL,Pike,1109,6009,42.7,7939,56.5
AL,Randolph,1111,3076,29.6,7219,69.5
AL,Russell,1113,10495,55.6,8276,43.9
AL,St. Clair,1115,5790,16.5,29001,82.6
AL,Shelby,1117,19944,21.6,71243,77.3
AL,Sumter,1119,5420,77.2,1585,22.6
AL,Talladega,1121,13878,41.7,19217,57.7
AL,Tallapoosa,1123,6252,33.5,12303,65.9
AL,Tuscaloosa,1125,32003,40.8,45703,58.2
AL,Walker,1127,6551,23,21633,75.9
AL,Washington,1129,2971,33.9,5749,65.6
AL,Wilcox,1131,4867,74.3,1676,25.6
AL,Winston,1133,1286,13.2,8310,85.6
AR,Arkansas,0,391953,36.9,643717,60.6
AR,Ashley,5003,2855,36.1,4866,61.5
AR,Baxter,5005,5172,26.7,13688,70.8
AR,Benton,5007,22144,28.6,53477,69
AR,Boone,5009,3762,24.5,11143,72.5
AR,Bradley,5011,1447,39.8,2118,58.3
AR,Calhoun,5013,660,30.4,1458,67.1
AR,Carroll,5015,3691,36.3,6121,60.2
AR,Chicot,5017,2649,60.7,1670,38.3
AR,Clark,5019,3808,45.3,4343,51.7
AR,Clay,5021,1738,34,3225,63.1
AR,Cleburne,5023,2618,22.5,8691,74.6
AR,Cleveland,5025,845,25.9,2313,70.8
AR,Columbia,5027,3557,37.6,5790,61.2
AR,Conway,5029,3003,38.9,4511,58.4
AR,Craighead,5031,10351,33.2,20044,64.2
AR,Crawford,5033,4872,23.7,15125,73.6
AR,Crittenden,5035,9092,58.6,6192,39.9
AR,Cross,5037,2279,34.1,4268,63.9
AR,Dallas,5039,1337,43.4,1664,54
AR,Desha,5041,2353,55.5,1807,42.6
AR,Drew,5043,2627,39.6,3883,58.6
AR,Faulkner,5045,13559,32.8,26653,64.5
AR,Franklin,5047,1725,26.4,4631,70.8
AR,Fulton,5049,1452,32.1,2949,65.2
AR,Garland,5051,13317,33.9,25031,63.8
AR,Grant,5053,1467,22.6,4829,74.5
AR,Greene,5055,3998,29.1,9066,65.9
AR,Hempstead,5057,2466,35.6,4284,61.9
AR,Hot Spring,5059,3824,34,7087,63.1
AR,Howard,5061,1460,33,2862,64.8
AR,Independence,5063,3279,26.5,8724,70.4
AR,Izard,5065,1563,29.4,3571,67.2
AR,Jackson,5067,2093,39.2,3065,57.4
AR,Jefferson,5069,17456,63.8,9515,34.8
AR,Johnson,5071,2785,34.5,5045,62.6
AR,Lafayette,5073,1173,40.1,1712,58.5
AR,Lawrence,5075,1786,32.3,3535,63.8
AR,Lee,5077,2107,61.5,1280,37.4
AR,Lincoln,5079,1424,38.2,2199,59
AR,Little River,5081,1552,30.7,3385,67
AR,Logan,5083,2009,27.4,5078,69.3
AR,Lonoke,5085,5612,23.3,17863,74.2
AR,Madison,5087,2099,32,4262,64.9
AR,Marion,5089,2024,28.8,4771,67.9
AR,Miller,5091,4518,29.5,10622,69.3
AR,Mississippi,5093,6445,48.3,6599,49.4
AR,Monroe,5095,1583,49,1585,49.1
AR,Montgomery,5097,920,27,2368,69.6
AR,Nevada,5099,1314,38.8,1996,59
AR,Newton,5101,993,27.1,2508,68.5
AR,Ouachita,5103,4626,44.9,5516,53.5
AR,Perry,5105,1187,30.1,2580,65.5
AR,Phillips,5107,5179,65.6,2591,32.8
AR,Pike,5109,850,22.4,2847,75.2
AR,Poinsett,5111,2387,31.6,4967,65.8
AR,Polk,5113,1556,20.2,5950,77.1
AR,Pope,5115,5108,25.1,14733,72.3
AR,Prairie,5117,877,28,2149,68.6
AR,Pulaski,5119,87055,54.7,68856,43.3
AR,Randolph,5121,2040,34.3,3699,62.2
AR,Saint Francis,5123,4652,58,3287,41
AR,Saline,5125,12868,27.3,32962,70
AR,Scott,5127,895,24.6,2630,72.3
AR,Searcy,5129,814,22,2699,73.1
