"gu","year","m_occur","m_arrest","rob_occur","rob_arrest","rap_occur","rap_arrest","thf_occur","thf_arrest","v_occur","v_arrest"
"강남구","2010",14,13,84,65,377,231,4003,1374,5017,4323
"강남구","2011",23,19,73,55,441,283,4222,1133,5195,4263
"강남구","2012",9,7,48,36,373,250,4665,1257,5048,4091
"강남구","2013",12,12,31,19,455,317,4446,1186,4733,3930
"강남구","2014",13,9,37,29,512,403,3895,1193,4394,3628
"강남구","2015",13,10,21,18,449,349,3850,1650,4284,3705
"강동구","2010",18,16,38,37,169,144,1970,1338,2835,2517
"강동구","2011",7,6,36,31,191,142,2426,1011,3065,2532
"강동구","2012",5,4,21,19,181,135,2531,758,2871,2363
"강동구","2013",9,9,17,11,152,130,2546,722,2810,2362
"강동구","2014",5,4,10,8,148,129,2425,827,2804,2317
"강동구","2015",4,3,6,8,156,123,2366,789,2712,2248
"강북구","2010",7,6,37,30,156,144,1381,602,2583,2311
"강북구","2011",7,6,30,18,168,128,1522,543,2689,2293
"강북구","2012",3,3,23,23,153,126,1362,497,2727,2413
"강북구","2013",2,2,16,18,202,170,1464,571,2336,2084
"강북구","2014",6,5,21,10,189,152,1494,575,2320,2064
"강북구","2015",7,8,14,13,153,126,1434,618,2649,2348
"강서구","2010",7,8,58,66,225,192,2710,1394,3219,2790
"강서구","2011",18,20,45,43,215,182,2776,861,3346,2748
"강서구","2012",15,14,35,32,207,159,2825,1022,3056,2472
"강서구","2013",14,12,26,24,270,224,2638,949,3028,2395
"강서구","2014",8,6,9,9,214,179,2341,734,2717,2297
"강서구","2015",7,8,13,13,262,191,2096,1260,3207,2718
"관악구","2010",13,13,57,53,403,234,2273,935,3404,2971
"관악구","2011",19,17,54,36,361,222,2694,775,3826,3119
"관악구","2012",7,7,43,28,355,237,3067,854,3420,2757
"관악구","2013",7,6,24,17,374,209,3447,753,3385,2733
"관악구","2014",7,8,25,22,361,238,3029,784,3359,2649
"관악구","2015",9,8,12,14,320,221,2706,827,3298,2642
"광진구","2010",11,10,52,44,230,198,2504,1836,2735,2382
"광진구","2011",11,11,48,38,260,226,2418,1065,2867,2301
"광진구","2012",6,7,27,28,246,198,2904,1258,3038,2442
"광진구","2013",4,4,8,12,269,228,3124,1258,2730,2202
"광진구","2014",8,9,16,22,249,199,3167,1001,2828,2300
"광진구","2015",4,4,14,26,240,220,3026,1277,2625,2180
"구로구","2010",17,17,40,38,229,148,2259,1206,2901,2546
"구로구","2011",12,10,39,24,326,150,2014,984,3327,2804
"구로구","2012",9,9,25,16,236,120,2620,680,3239,2606
"구로구","2013",9,10,20,13,233,165,2436,663,2967,2329
"구로구","2014",3,3,14,10,252,186,2377,579,2743,2207
"구로구","2015",8,6,15,11,281,164,2335,889,3007,2432
"금천구","2010",8,6,35,53,120,107,1522,925,1976,1727
"금천구","2011",14,14,30,24,107,89,1527,753,2399,1960
"금천구","2012",8,7,26,23,127,122,1656,702,2293,1928
"금천구","2013",6,5,16,14,138,108,1620,735,2180,1815
