"state","county","Obama","Romney","winner","total","margin","turnout"
"AK","Alaska",41.6,55,"Romney",212930,13.4,3.4
"AL","Autauga",26.6,72.6,"Romney",23720,46,0.800000000000011
"AL","Baldwin",21.6,77.4,"Romney",84101,55.8,1
"AL","Barbour",51.3,48.3,"Obama",11412,3,0.400000000000006
"AL","Bibb",26.2,73.1,"Romney",8331,46.9,0.700000000000003
"AL","Blount",12.3,86.5,"Romney",23702,74.2,1.2
"AL","Bullock",76.3,23.5,"Obama",5308,52.8,0.200000000000003
"AL","Butler",46.1,53.6,"Romney",9448,7.5,0.299999999999997
"AL","Calhoun",33.5,65.5,"Romney",45772,32,1
"AL","Chambers",47.1,52.2,"Romney",14449,5.1,0.699999999999996
"AL","Cherokee",21.8,76.8,"Romney",9620,55,1.40000000000001
"AL","Chilton",19.5,79.8,"Romney",17301,60.3,0.700000000000003
"AL","Choctaw",47.5,52.1,"Romney",7935,4.6,0.399999999999999
"AL","Clarke",45.7,54,"Romney",13780,8.3,0.299999999999997
"AL","Clay",26.7,72.3,"Romney",6572,45.6,1
"AL","Cleburne",15.4,83.6,"Romney",6240,68.2,1
"AL","Coffee",24.8,74.2,"Romney",19537,49.4,1
"AL","Colbert",39.2,59.6,"Romney",23091,20.4,1.2
"AL","Conecuh",50.6,49,"Obama",6985,1.6,0.399999999999999
"AL","Coosa",41.7,57.8,"Romney",5216,16.1,0.5
"AL","Covington",20.5,78.8,"Romney",15303,58.3,0.700000000000003
"AL","Crenshaw",31.9,67.5,"Romney",6374,35.6,0.599999999999994
"AL","Cullman",14.6,84.2,"Romney",32785,69.6,1.2
"AL","Dale",28.5,70.6,"Romney",18388,42.1,0.900000000000006
"AL","Dallas",69.7,30,"Obama",20883,39.7,0.299999999999997
"AL","DeKalb",22,76.8,"Romney",23551,54.8,1.2
"AL","Elmore",25.2,74,"Romney",35163,48.8,0.799999999999997
"AL","Escambia",36.9,62.5,"Romney",14739,25.6,0.600000000000001
"AL","Etowah",30.1,68.5,"Romney",41894,38.4,1.40000000000001
"AL","Fayette",22.8,76.3,"Romney",7837,53.5,0.900000000000006
"AL","Franklin",29.2,69.7,"Romney",10738,40.5,1.09999999999999
"AL","Geneva",18,81,"Romney",11212,63,1
"AL","Greene",84.7,15,"Obama",5313,69.7,0.299999999999997
"AL","Hale",62.6,37.1,"Obama",8606,25.5,0.299999999999997
"AL","Henry",35,64.4,"Romney",8651,29.4,0.599999999999994
"AL","Houston",29.5,69.8,"Romney",41562,40.3,0.700000000000003
"AL","Jackson",28.3,70.2,"Romney",20239,41.9,1.5
"AL","Jefferson",52.6,46.6,"Obama",301071,6,0.799999999999997
"AL","Lamar",23,76.2,"Romney",7096,53.2,0.799999999999997
"AL","Lauderdale",33.9,64.8,"Romney",36406,30.9,1.3
"AL","Lawrence",35.9,62.9,"Romney",13910,27,1.2
"AL","Lee",39.3,59.2,"Romney",53336,19.9,1.5
"AL","Limestone",27.7,71.4,"Romney",35072,43.7,0.899999999999991
"AL","Lowndes",76.4,23.3,"Obama",7501,53.1,0.299999999999994
"AL","Macon",87.1,12.7,"Obama",10367,74.4,0.200000000000006
"AL","Madison",40,58.6,"Romney",152481,18.6,1.4
"AL","Marengo",53.5,46.2,"Obama",11475,7.3,0.299999999999997
"AL","Marion",18.6,80.1,"Romney",11945,61.5,1.30000000000001
"AL","Marshall",19.3,79.4,"Romney",32056,60.1,1.3
"AL","Mobile",45,54.3,"Romney",172983,9.3,0.700000000000003
"AL","Monroe",45.9,53.7,"Romney",10627,7.8,0.399999999999999
"AL","Montgomery",61.9,37.6,"Obama",101276,24.3,0.5
"AL","Morgan",27.2,71.8,"Romney",48710,44.6,1
"AL","Perry",74.8,24.8,"Obama",6040,50,0.400000000000002
"AL","Pickens",46.3,53.3,"Romney",9567,7,0.400000000000006
"AL","Pike",42.7,56.5,"Romney",13948,13.8,0.799999999999997
"AL","Randolph",29.6,69.5,"Romney",10295,39.9,0.900000000000006
"AL","Russell",55.6,43.9,"Obama",18771,11.7,0.5
"AL","St. Clair",16.5,82.6,"Romney",34791,66.1,0.900000000000006
"AL","Shelby",21.6,77.3,"Romney",91187,55.7,1.10000000000001
"AL","Sumter",77.2,22.6,"Obama",7005,54.6,0.199999999999996
"AL","Talladega",41.7,57.7,"Romney",33095,16,0.599999999999994
"AL","Tallapoosa",33.5,65.9,"Romney",18555,32.4,0.599999999999994
"AL","Tuscaloosa",40.8,58.2,"Romney",77706,17.4,1
"AL","Walker",23,75.9,"Romney",28184,52.9,1.09999999999999
"AL","Washington",33.9,65.6,"Romney",8720,31.7,0.5
"AL","Wilcox",74.3,25.6,"Obama",6543,48.7,0.100000000000001
"AL","Winston",13.2,85.6,"Romney",9596,72.4,1.2
"AR","Ashley",36.1,61.5,"Romney",7721,25.4,2.4
"AR","Baxter",26.7,70.8,"Romney",18860,44.1,2.5
"AR","Benton",28.6,69,"Romney",75621,40.4,2.40000000000001
"AR","Boone",24.5,72.5,"Romney",14905,48,3
"AR","Bradley",39.8,58.3,"Romney",3565,18.5,1.90000000000001
"AR","Calhoun",30.4,67.1,"Romney",2118,36.7,2.5
"AR","Carroll",36.3,60.2,"Romney",9812,23.9,3.5
"AR","Chicot",60.7,38.3,"Obama",4319,22.4,1
"AR","Clark",45.3,51.7,"Romney",8151,6.40000000000001,3
"AR","Clay",34,63.1,"Romney",4963,29.1,2.9
"AR","Cleburne",22.5,74.6,"Romney",11309,52.1,2.90000000000001
"AR","Cleveland",25.9,70.8,"Romney",3158,44.9,3.3
"AR","Columbia",37.6,61.2,"Romney",9347,23.6,1.2
"AR","Conway",38.9,58.4,"Romney",7514,19.5,2.7
"AR","Craighead",33.2,64.2,"Romney",30395,31,2.59999999999999
"AR","Crawford",23.7,73.6,"Romney",19997,49.9,2.7
"AR","Crittenden",58.6,39.9,"Obama",15284,18.7,1.5
"AR","Cross",34.1,63.9,"Romney",6547,29.8,2.00000000000001
"AR","Dallas",43.4,54,"Romney",3001,10.6,2.6
"AR","Desha",55.5,42.6,"Obama",4160,12.9,1.9
"AR","Drew",39.6,58.6,"Romney",6510,19,1.8
"AR","Faulkner",32.8,64.5,"Romney",40212,31.7,2.7
"AR","Franklin",26.4,70.8,"Romney",6356,44.4,2.8
"AR","Fulton",32.1,65.2,"Romney",4401,33.1,2.7
"AR","Garland",33.9,63.8,"Romney",38348,29.9,2.3
"AR","Grant",22.6,74.5,"Romney",6296,51.9,2.90000000000001
"AR","Greene",29.1,65.9,"Romney",13064,36.8,5
"AR","Hempstead",35.6,61.9,"Romney",6750,26.3,2.50000000000001
"AR","Hot Spring",34,63.1,"Romney",10911,29.1,2.9
"AR","Howard",33,64.8,"Romney",4322,31.8,2.2
"AR","Independence",26.5,70.4,"Romney",12003,43.9,3.09999999999999
"AR","Izard",29.4,67.2,"Romney",5134,37.8,3.39999999999999
"AR","Jackson",39.2,57.4,"Romney",5158,18.2,3.4
"AR","Jefferson",63.8,34.8,"Obama",26971,29,1.40000000000001
"AR","Johnson",34.5,62.6,"Romney",7830,28.1,2.9
"AR","Lafayette",40.1,58.5,"Romney",2885,18.4,1.4
"AR","Lawrence",32.3,63.8,"Romney",5321,31.5,3.90000000000001
"AR","Lee",61.5,37.4,"Obama",3387,24.1,1.1
"AR","Lincoln",38.2,59,"Romney",3623,20.8,2.8
"AR","Little River",30.7,67,"Romney",4937,36.3,2.3
"AR","Logan",27.4,69.3,"Romney",7087,41.9,3.3
"AR","Lonoke",23.3,74.2,"Romney",23475,50.9,2.5
"AR","Madison",32,64.9,"Romney",6361,32.9,3.09999999999999
"AR","Marion",28.8,67.9,"Romney",6795,39.1,3.3
"AR","Miller",29.5,69.3,"Romney",15140,39.8,1.2
"AR","Mississippi",48.3,49.4,"Romney",13044,1.1,2.3
"AR","Monroe",49,49.1,"Romney",3168,0.100000000000001,1.9
"AR","Montgomery",27,69.6,"Romney",3288,42.6,3.40000000000001
"AR","Nevada",38.8,59,"Romney",3310,20.2,2.2
"AR","Newton",27.1,68.5,"Romney",3501,41.4,4.40000000000001
"AR","Ouachita",44.9,53.5,"Romney",10142,8.6,1.6
"AR","Perry",30.1,65.5,"Romney",3767,35.4,4.40000000000001
"AR","Phillips",65.6,32.8,"Obama",7770,32.8,1.60000000000001
"AR","Pike",22.4,75.2,"Romney",3697,52.8,2.39999999999999
"AR","Poinsett",31.6,65.8,"Romney",7354,34.2,2.60000000000001
"AR","Polk",20.2,77.1,"Romney",7506,56.9,2.7
"AR","Pope",25.1,72.3,"Romney",19841,47.2,2.60000000000001
"AR","Prairie",28,68.6,"Romney",3026,40.6,3.40000000000001
"AR","Pulaski",54.7,43.3,"Obama",155911,11.4,2
"AR","Randolph",34.3,62.2,"Romney",5739,27.9,3.5
"AR","Saint Francis",58,41,"Obama",7939,17,1
"AR","Saline",27.3,70,"Romney",45830,42.7,2.7
"AR","Scott",24.6,72.3,"Romney",3525,47.7,3.10000000000001
"AR","Searcy",22,73.1,"Romney",3513,51.1,4.90000000000001
"AR","Sebastian",30.2,67.3,"Romney",42241,37.1,2.5
"AR","Sevier",24.1,72.4,"Romney",4177,48.3,3.5
"AR","Sharp",28.7,67.6,"Romney",7012,38.9,3.7
"AR","Stone",25.3,70.5,"Romney",5129,45.2,4.2
"AR","Union",36,62.3,"Romney",16878,26.3,1.7
"AR","Van Buren",28.4,67.9,"Romney",6188,39.5,3.69999999999999
"AR","Washington",40.1,56.3,"Romney",67706,16.2,3.6
"AR","White",21.7,75.5,"Romney",25770,53.8,2.8
"AR","Woodruff",49.9,45.7,"Obama",2567,4.2,4.4
"AR","Yell",28.8,67.7,"Romney",5761,38.9,3.5
"AZ","Apache",66.1,32.2,"Obama",25031,33.9,1.7
"AZ","Cochise",37.1,61.1,"Romney",42965,24,1.8
"AZ","Coconino",56.3,41.4,"Obama",45684,14.9,2.3
"AZ","Gila",36,62.4,"Romney",18175,26.4,1.6
"AZ","Graham",30.4,68.1,"Romney",11684,37.7,1.5
