지역,년도,범죄,발생,검거,검거율
강남구,2010,살인,14,13,0.928571429
강남구,2011,살인,23,19,0.826086957
강남구,2012,살인,9,7,0.777777778
강남구,2013,살인,12,12,1
강남구,2014,살인,13,9,0.692307692
강남구,2015,살인,13,10,0.769230769
강동구,2010,살인,18,16,0.888888889
강동구,2011,살인,7,6,0.857142857
강동구,2012,살인,5,4,0.8
강동구,2013,살인,9,9,1
강동구,2014,살인,5,4,0.8
강동구,2015,살인,4,3,0.75
강북구,2010,살인,7,6,0.857142857
강북구,2011,살인,7,6,0.857142857
강북구,2012,살인,3,3,1
강북구,2013,살인,2,2,1
강북구,2014,살인,6,5,0.833333333
강북구,2015,살인,7,8,1
강서구,2010,살인,7,8,1
강서구,2011,살인,18,20,1
강서구,2012,살인,15,14,0.933333333
강서구,2013,살인,14,12,0.857142857
강서구,2014,살인,8,6,0.75
강서구,2015,살인,7,8,1
관악구,2010,살인,13,13,1
관악구,2011,살인,19,17,0.894736842
관악구,2012,살인,7,7,1
관악구,2013,살인,7,6,0.857142857
관악구,2014,살인,7,8,1
관악구,2015,살인,9,8,0.888888889
광진구,2010,살인,11,10,0.909090909
광진구,2011,살인,11,11,1
광진구,2012,살인,6,7,1
광진구,2013,살인,4,4,1
광진구,2014,살인,8,9,1
광진구,2015,살인,4,4,1
구로구,2010,살인,17,17,1
구로구,2011,살인,12,10,0.833333333
구로구,2012,살인,9,9,1
구로구,2013,살인,9,10,1
구로구,2014,살인,3,3,1
구로구,2015,살인,8,6,0.75
금천구,2010,살인,8,6,0.75
금천구,2011,살인,14,14,1
금천구,2012,살인,8,7,0.875
금천구,2013,살인,6,5,0.833333333
금천구,2014,살인,7,7,1
금천구,2015,살인,3,4,1
노원구,2010,살인,16,16,1
노원구,2011,살인,8,8,1
노원구,2012,살인,2,2,1
노원구,2013,살인,7,7,1
노원구,2014,살인,5,4,0.8
노원구,2015,살인,10,10,1
도봉구,2010,살인,5,6,1
도봉구,2011,살인,10,10,1
도봉구,2012,살인,8,8,1
도봉구,2013,살인,3,2,0.666666667
도봉구,2014,살인,6,7,1
도봉구,2015,살인,3,3,1
동대문구,2010,살인,13,13,1
동대문구,2011,살인,14,11,0.785714286
동대문구,2012,살인,11,10,0.909090909
동대문구,2013,살인,9,10,1
동대문구,2014,살인,12,11,0.916666667
동대문구,2015,살인,5,5,1
동작구,2010,살인,8,9,1
동작구,2011,살인,5,6,1
동작구,2012,살인,2,2,1
동작구,2013,살인,6,6,1
동작구,2014,살인,2,2,1
동작구,2015,살인,5,5,1
마포구,2010,살인,1,1,1
마포구,2011,살인,3,3,1
마포구,2012,살인,4,4,1
마포구,2013,살인,3,3,1
마포구,2014,살인,4,4,1
마포구,2015,살인,8,8,1
서대문구,2010,살인,18,20,1
서대문구,2011,살인,6,6,1
서대문구,2012,살인,7,8,1
서대문구,2013,살인,8,7,0.875
서대문구,2014,살인,3,3,1
서대문구,2015,살인,2,2,1
서초구,2010,살인,11,8,0.727272727
서초구,2011,살인,9,6,0.666666667
서초구,2012,살인,4,5,1
서초구,2013,살인,2,2,1
서초구,2014,살인,6,9,1
서초구,2015,살인,8,6,0.75
성동구,2010,살인,11,10,0.909090909
성동구,2011,살인,7,6,0.857142857
성동구,2012,살인,3,3,1
성동구,2013,살인,2,1,0.5
성동구,2014,살인,1,1,1
성동구,2015,살인,4,4,1
성북구,2010,살인,15,15,1
성북구,2011,살인,9,7,0.777777778
성북구,2012,살인,9,8,0.888888889
성북구,2013,살인,4,3,0.75
성북구,2014,살인,8,5,0.625
성북구,2015,살인,5,5,1
송파구,2010,살인,9,7,0.777777778
송파구,2011,살인,6,5,0.833333333
송파구,2012,살인,11,10,0.909090909
송파구,2013,살인,4,3,0.75
송파구,2014,살인,9,8,0.888888889
송파구,2015,살인,11,10,0.909090909
양천구,2010,살인,9,10,1
양천구,2011,살인,4,4,1
양천구,2012,살인,5,4,0.8
양천구,2013,살인,3,2,0.666666667
양천구,2014,살인,5,5,1
양천구,2015,살인,3,5,1
영등포구,2010,살인,34,32,0.941176471
영등포구,2011,살인,18,19,1
영등포구,2012,살인,18,18,1
영등포구,2013,살인,14,12,0.857142857
영등포구,2014,살인,14,15,1
영등포구,2015,살인,14,12,0.857142857
용산구,2010,살인,9,8,0.888888889
용산구,2011,살인,13,13,1
